,session_key,location,session_name,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
3,9070,Baku,Race,2023,76.749125,49.225,1008.64625,0,106.178,125.6875,2.422950625
6,9102,Barcelona,Race,2023,72.81324675324676,63.077922077922075,1001.0909090909091,0,92.91012987012986,132.64285714285714,4.182027922077922
28,9515,Imola,Race,2024,77.20517482517482,48.42657342657343,1006.6342657342658,0,107.6427972027972,135.979020979021,4.789995804195804
23,9480,Jeddah,Race,2024,77.95054794520549,62.33561643835616,1012.6828767123288,0,88.86767123287672,129.14383561643837,2.914228767123288
18,9181,Mexico City,Race,2023,77.98526315789474,23.55263157894737,779.5205263157894,0,114.15105263157895,247.68421052631578,3.33313
25,9496,Suzuka,Race,2024,71.04408839779005,43.430939226519335,1012.3723756906077,0,99.50198895027624,185.6685082872928,5.012857458563536
29,9523,Monaco,Race,2024,70.8737,63.99,1018.7435,0,115.3724,160.895,2.1911415
1,7779,Jeddah,Race,2023,78.9654054054054,57.79054054054054,1010.9297297297297,0,89.22662162162163,271.1621621621622,3.9646290540540545
9,9126,Silverstone,Race,2023,70.6523178807947,56.18543046357616,1001.2258278145696,0,87.69390728476822,205.39735099337747,6.764332450331126
35,9574,Spa-Francorchamps,Race,2024,70.38933333333333,49.62222222222222,978.0962962962963,0,108.064,138.0814814814815,3.764788148148148
38,9598,Baku,Race,2024,80.07065789473684,38.01973684210526,1017.6401315789475,0,111.82881578947368,123.55263157894737,3.4702934210526317
