,session_key,location,session_name,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
0,9590,Monza,Race,2024,91.5827067669173,32.285714285714285,993.2285714285714,0,120.76030075187971,200.62406015037595,3.3975488721804514
1,9221,Lusail,Race,2023,88.63320754716982,73.15723270440252,1009.7748427672957,0,98.4777358490566,203.58490566037736,1.9907893081761008
2,9606,Marina Bay,Race,2024,87.41525,74.65,1008.024375,0,97.602125,192.49375,2.136335
3,9213,Austin,Race,2023,85.92821428571429,41.910714285714285,993.7309523809523,0,105.13142857142859,107.89285714285714,7.414057142857143
4,9165,Marina Bay,Race,2023,85.71977272727273,72.0284090909091,1008.9784090909092,0,97.55988636363637,169.2840909090909,3.1673886363636368
5,9550,Spielberg,Race,2024,84.96657342657342,35.00699300699301,932.862937062937,1,115.55776223776223,235.51048951048952,3.7309405594405596
6,9157,Monza,Race,2023,84.79423076923077,42.32051282051282,1000.5615384615385,0,109.27076923076925,179.26923076923077,2.5496064102564104
7,9566,Budapest,Race,2024,83.88296774193549,46.92258064516129,981.6767741935483,0,112.84903225806451,221.18709677419355,2.7955283870967746
8,9133,Budapest,Race,2023,83.85536585365854,32.80487804878049,988.4018292682927,0,119.44268292682926,174.53658536585365,3.2231896341463417
9,9507,Miami,Race,2024,83.3396,59.00666666666667,1016.4626666666667,0,112.39519999999999,152.64,6.891451333333334
