,session_key,location,session_name,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
0,9582,Zandvoort,Race,2024,66.17657534246575,61.04794520547945,1019.9787671232876,0,87.34753424657534,218.26027397260273,10.135448630136986
1,9078,Miami,Race,2023,80.81135483870968,59.42580645161291,1018.3787096774195,0,98.04025806451612,135.54193548387096,8.881611612903226
2,9213,Austin,Race,2023,85.92821428571429,41.910714285714285,993.7309523809523,0,105.13142857142859,107.89285714285714,7.414057142857143
3,9507,Miami,Race,2024,83.33945205479453,59.04794520547945,1016.4513698630136,0,112.27260273972603,152.65753424657535,6.867283561643836
4,9644,Las Vegas,Race,2024,65.4504347826087,51.033816425120776,961.3260869565217,0,68.08434782608695,204.43478260869566,6.770437198067634
5,9126,Silverstone,Race,2023,70.6523178807947,56.18543046357616,1001.2258278145696,0,87.69390728476822,205.39735099337747,6.764332450331126
6,9149,Zandvoort,Race,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,173.23923444976077,6.311765071770336
7,9189,Las Vegas,Race,2023,64.49000000000001,47.361111111111114,939.7814814814815,0,64.39,220.33333333333334,5.147171296296296
8,9496,Suzuka,Race,2024,71.04408839779005,43.430939226519335,1012.3723756906077,0,99.50198895027624,185.6685082872928,5.012857458563536
9,9625,Mexico City,Race,2024,67.79962264150943,51.0503144654088,785.2528301886792,0,96.08452830188679,291.3522012578616,4.811660377358491
