,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed
0,7787,4,251.05357142857142,277.17241379310343,278.8363636363636,158.69308771929823,31.539473684210527,21.75,104.5439827586207,Melbourne,2023,63.40918918918919,54.15765765765766,1018.3666666666668,0,86.25135135135136,2.52115945945946
1,9110,4,244.98461538461538,274.0,309.15714285714284,81.35669565217391,22.58155072463768,26.084600000000002,32.68342857142857,Montréal,2023,65.35444444444445,63.901234567901234,1011.5524691358024,0,87.06777777777779,4.3441987654321
2,9141,4,307.2894736842105,186.95454545454547,302.48571428571427,114.0776046511628,33.50227906976744,49.769409090909086,30.840477272727274,Spa-Francorchamps,2023,64.172,61.92666666666667,966.6273333333334,1,82.8332,3.5672693333333334
3,9149,4,269.078125,259.52777777777777,279.109375,120.63966197183098,64.68894366197183,30.031875,25.963430555555554,Zandvoort,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,6.311765071770336
4,9189,4,167.66666666666666,190.0,237.5,119.327,32.584,37.438,48.730000000000004,Las Vegas,2023,64.49000000000001,47.36111111111112,939.7814814814816,0,64.39,5.147171296296297
5,9472,4,233.60526315789474,256.49122807017545,296.3255813953488,97.33985714285714,31.555,41.861333333333334,23.954543859649124,Sakhir,2024,64.80929936305732,48.82165605095541,1017.1859872611466,0,74.57515923566879,1.7582535031847135
6,9531,4,212.20338983050848,265.22857142857146,283.6714285714286,90.50846376811594,25.849652173913043,28.71185714285714,36.03044285714285,Montréal,2024,62.810545454545455,75.7030303030303,996.3327272727272,1,73.6650909090909,2.687111515151515
7,9558,4,295.9347826086956,255.53846153846155,301.63461538461536,95.24037254901961,31.02278431372549,38.23286538461538,25.980173076923077,Silverstone,2024,60.38734693877551,67.33333333333333,992.1265306122448,1,81.8061224489796,3.016145578231293
8,9644,4,178.7560975609756,207.46,314.88,99.23595918367347,29.067122448979593,33.18288,37.01072,Las Vegas,2024,65.4504347826087,51.033816425120776,961.3260869565216,0,68.08434782608695,6.770437198067634
9,9673,4,259.8085106382979,253.76785714285714,291.72727272727275,108.39641818181818,28.76305357142857,32.62925,47.00935714285714,Shanghai,2024,65.5509090909091,66.06060606060606,1011.4521212121213,0,85.6269090909091,3.75816
