,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed
0,7779,23,274.7142857142857,284.6666666666667,298.9259259259259,104.61388461538462,38.60223076923077,32.257703703703704,33.635777777777776,Jeddah,2023,78.9654054054054,57.79054054054054,1010.9297297297296,0,89.22662162162163,3.9646290540540554
1,9070,23,185.58,199.19607843137254,315.4901960784314,110.65747999999999,39.680119999999995,44.8093137254902,26.166156862745098,Baku,2023,76.74912499999999,49.225,1008.64625,0,106.178,2.4229506250000004
2,9102,23,259.6,265.0615384615385,304.5,81.458953125,24.60484375,32.480584615384615,24.429353846153845,Barcelona,2023,72.81324675324676,63.07792207792208,1001.0909090909092,0,92.91012987012988,4.182027922077923
3,9126,23,286.9583333333333,245.96153846153845,297.61538461538464,98.69513725490197,31.985588235294117,39.630211538461545,27.06878846153846,Silverstone,2023,70.6523178807947,56.18543046357616,1001.2258278145696,0,87.69390728476822,6.764332450331127
4,9181,23,280.6764705882353,278.59154929577466,327.67241379310343,104.37501428571429,48.120157142857146,33.56215492957747,22.71692957746479,Mexico City,2023,77.98526315789474,23.55263157894737,779.5205263157894,0,114.15105263157896,3.3331300000000006
5,9480,23,278.4848484848485,304.74,314.92,98.53063265306123,36.66787755102041,30.87632,30.982,Jeddah,2024,77.95054794520547,62.33561643835616,1012.6828767123288,0,88.86767123287672,2.914228767123288
6,9515,23,210.73333333333332,252.86274509803923,279.05882352941177,85.93433999999999,28.277959999999997,29.160098039215686,28.50845098039216,Imola,2024,77.20517482517482,48.42657342657343,1006.6342657342658,0,107.6427972027972,4.789995804195804
7,9523,23,185.17142857142858,175.3116883116883,276.5584415584416,80.98406578947368,21.34636842105263,37.85798701298701,22.011815789473683,Monaco,2024,70.87370000000001,63.99,1018.7435,0,115.3724,2.1911415
8,9574,23,325.9756097560976,198.13953488372093,314.15625,110.4169512195122,31.77245238095238,49.266000000000005,29.42069047619048,Spa-Francorchamps,2024,70.38933333333333,49.62222222222222,978.0962962962964,0,108.064,3.764788148148148
9,9598,23,186.61702127659575,200.7843137254902,316.5098039215686,110.92712,40.27478,44.575431372549026,26.09978431372549,Baku,2024,80.07065789473685,38.01973684210526,1017.6401315789476,0,111.8288157894737,3.470293421052632
