,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed
0,7787,23,252.85714285714286,257.3333333333333,243.42857142857142,102.2936,35.353833333333334,22.237333333333336,43.93566666666667,Melbourne,2023,63.40918918918919,54.15765765765766,1018.3666666666668,0,86.25135135135136,2.52115945945946
1,9110,23,246.7058823529412,275.9714285714286,309.2857142857143,81.30414492753623,22.712376811594204,26.066514285714284,32.52205714285714,Montréal,2023,65.35444444444445,63.901234567901234,1011.5524691358024,0,87.06777777777779,4.3441987654321
2,9141,23,330.3170731707317,184.86363636363637,313.6388888888889,114.56453488372092,32.888976744186046,51.13518181818181,30.557340909090907,Spa-Francorchamps,2023,64.172,61.92666666666667,966.6273333333334,1,82.8332,3.5672693333333334
3,9149,23,263.54545454545456,251.54166666666666,276.55,120.63788732394367,64.05047887323943,30.306194444444444,26.334125,Zandvoort,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,6.311765071770336
4,9189,23,171.1904761904762,199.0,278.64,107.74128571428572,30.82057142857143,36.01124,40.88652,Las Vegas,2023,64.49000000000001,47.36111111111112,939.7814814814816,0,64.39,5.147171296296297
5,9472,23,231.3953488372093,253.78571428571428,298.75,98.41345454545454,31.880363636363636,42.43683928571429,24.129321428571426,Sakhir,2024,64.80929936305732,48.82165605095541,1017.1859872611466,0,74.57515923566879,1.7582535031847135
6,9531,23,213.75510204081633,268.71153846153845,301.5,91.63241176470588,26.913903846153843,28.958653846153844,35.87936538461538,Montréal,2024,62.810545454545455,75.7030303030303,996.3327272727272,1,73.6650909090909,2.687111515151515
7,9558,23,298.64444444444445,253.21153846153845,308.09615384615387,96.3501568627451,31.318941176470588,38.72523076923077,26.318096153846152,Silverstone,2024,60.38734693877551,67.33333333333333,992.1265306122448,1,81.8061224489796,3.016145578231293
8,9644,23,175.45454545454547,205.36,304.2916666666667,100.78641666666665,29.395666666666667,33.70932,37.801320000000004,Las Vegas,2024,65.4504347826087,51.033816425120776,961.3260869565216,0,68.08434782608695,6.770437198067634
9,9673,23,260.5652173913044,253.28571428571428,295.55357142857144,109.24901818181819,29.195854545454544,32.86192857142857,47.14839285714286,Shanghai,2024,65.5509090909091,66.06060606060606,1011.4521212121213,0,85.6269090909091,3.75816
