,session_key,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
0,7779,Jeddah,2023,78.9654054054054,57.79054054054054,1010.9297297297296,0,89.22662162162163,271.1621621621622,3.9646290540540554
1,7787,Melbourne,2023,63.40918918918919,54.15765765765766,1018.3666666666668,0,86.25135135135136,138.07207207207207,2.52115945945946
2,7953,Sakhir,2023,81.37701863354037,21.496894409937887,1016.8639751552796,0,87.82124223602483,177.1304347826087,1.528385093167702
3,9070,Baku,2023,76.74912499999999,49.225,1008.64625,0,106.178,125.6875,2.4229506250000004
4,9078,Miami,2023,80.81135483870968,59.42580645161291,1018.3787096774196,0,98.04025806451612,135.54193548387096,8.881611612903226
5,9094,Monaco,2023,77.11863636363637,45.86363636363637,1013.3596590909092,1,102.66022727272728,143.01136363636363,2.249710227272727
6,9102,Barcelona,2023,72.81324675324676,63.07792207792208,1001.0909090909092,0,92.91012987012988,132.64285714285714,4.182027922077923
7,9110,Montréal,2023,65.35444444444445,63.901234567901234,1011.5524691358024,0,87.06777777777779,314.1296296296296,4.3441987654321
8,9118,Spielberg,2023,72.31647058823529,52.04575163398693,934.0156862745098,1,89.69764705882352,124.56209150326798,2.4548516339869284
9,9126,Silverstone,2023,70.6523178807947,56.18543046357616,1001.2258278145696,0,87.69390728476822,205.39735099337747,6.764332450331127
10,9133,Budapest,2023,83.85536585365855,32.80487804878049,988.4018292682928,0,119.44268292682926,174.53658536585365,3.2231896341463417
11,9141,Spa-Francorchamps,2023,64.172,61.92666666666667,966.6273333333334,1,82.8332,130.04666666666665,3.5672693333333334
12,9149,Zandvoort,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,173.23923444976077,6.311765071770336
13,9157,Monza,2023,84.79423076923078,42.32051282051282,1000.5615384615384,0,109.27076923076925,179.26923076923077,2.549606410256411
14,9165,Marina Bay,2023,85.71977272727273,72.0284090909091,1008.9784090909092,0,97.55988636363637,169.2840909090909,3.1673886363636363
15,9173,Suzuka,2023,81.11949367088607,42.31645569620253,1012.9335443037976,0,107.72645569620254,121.50632911392404,4.093143670886077
16,9181,Mexico City,2023,77.98526315789474,23.55263157894737,779.5205263157894,0,114.15105263157896,247.68421052631575,3.3331300000000006
17,9189,Las Vegas,2023,64.49000000000001,47.36111111111112,939.7814814814816,0,64.39,220.33333333333331,5.147171296296297
18,9197,Yas Island,2023,80.53307692307692,51.0,1014.927564102564,0,92.2296153846154,284.93589743589746,4.015128205128206
19,9205,São Paulo,2023,68.82819672131147,58.17486338797814,927.9005464480872,1,116.1967213114754,184.1584699453552,2.92888087431694
20,9213,Austin,2023,85.92821428571429,41.910714285714285,993.7309523809524,0,105.1314285714286,107.89285714285714,7.414057142857143
21,9221,Lusail,2023,88.62822784810126,73.17721518987342,1009.7765822784812,0,98.46556962025318,203.0,1.986399367088608
22,9472,Sakhir,2024,64.80929936305732,48.82165605095541,1017.1859872611466,0,74.57515923566879,89.79617834394904,1.7582535031847135
23,9480,Jeddah,2024,77.95054794520547,62.33561643835616,1012.6828767123288,0,88.86767123287672,129.14383561643837,2.914228767123288
24,9488,Melbourne,2024,69.12,44.451388888888886,1020.6013888888888,0,101.12375,154.78472222222223,2.132917361111111
25,9496,Suzuka,2024,71.04408839779006,43.430939226519335,1012.3723756906076,0,99.50198895027624,185.6685082872928,5.012857458563537
26,9507,Miami,2024,83.33945205479452,59.04794520547945,1016.4513698630136,0,112.27260273972604,152.65753424657535,6.867283561643836
27,9515,Imola,2024,77.20517482517482,48.42657342657343,1006.6342657342658,0,107.6427972027972,135.979020979021,4.789995804195804
28,9523,Monaco,2024,70.87370000000001,63.99,1018.7435,0,115.3724,160.895,2.1911415
29,9531,Montréal,2024,62.810545454545455,75.7030303030303,996.3327272727272,1,73.6650909090909,165.38787878787878,2.687111515151515
30,9539,Barcelona,2024,75.42356687898089,63.43312101910828,1001.3535031847134,1,105.93184713375796,208.12738853503183,4.740445222929936
31,9550,Spielberg,2024,84.96657342657343,35.00699300699301,932.862937062937,1,115.55776223776223,235.51048951048952,3.73094055944056
32,9558,Silverstone,2024,60.38734693877551,67.33333333333333,992.1265306122448,1,81.8061224489796,221.2244897959184,3.016145578231293
33,9566,Budapest,2024,83.88296774193549,46.92258064516129,981.6767741935485,0,112.84903225806453,221.18709677419355,2.7955283870967738
34,9574,Spa-Francorchamps,2024,70.38933333333333,49.62222222222222,978.0962962962964,0,108.064,138.0814814814815,3.764788148148148
35,9582,Zandvoort,2024,66.17657534246575,61.04794520547945,1019.9787671232876,0,87.34753424657535,218.26027397260276,10.135448630136986
36,9590,Monza,2024,91.5827067669173,32.285714285714285,993.2285714285714,0,120.7603007518797,200.62406015037595,3.3975488721804514
37,9598,Baku,2024,80.07065789473685,38.01973684210526,1017.6401315789476,0,111.8288157894737,123.55263157894736,3.470293421052632
38,9606,Marina Bay,2024,87.41525000000001,74.65,1008.024375,0,97.602125,192.49375,2.1363350000000003
39,9617,Austin,2024,82.61832258064516,35.535483870967745,1006.5090322580644,0,115.88348387096774,223.88387096774196,3.3555
40,9625,Mexico City,2024,67.79962264150944,51.0503144654088,785.2528301886792,0,96.0845283018868,291.3522012578616,4.811660377358491
41,9636,São Paulo,2024,70.99283582089552,85.2587064676617,926.4567164179105,1,78.38537313432836,188.955223880597,1.6460313432835822
42,9644,Las Vegas,2024,65.4504347826087,51.033816425120776,961.3260869565216,0,68.08434782608695,204.43478260869568,6.770437198067634
