,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed
0,9078,4,210.30612244897958,184.91228070175438,305.5438596491228,93.53937499999999,31.907214285714286,35.50587719298246,26.184124999999998,Miami,2023,80.81135483870968,59.42580645161291,1018.3787096774196,0,98.04025806451612,8.881611612903226
1,9126,4,276.95,249.1153846153846,283.61538461538464,98.51343137254902,32.141705882352944,39.422134615384614,26.900903846153845,Silverstone,2023,70.6523178807947,56.18543046357616,1001.2258278145696,0,87.69390728476822,6.764332450331127
2,9149,4,269.078125,259.52777777777777,279.109375,120.63966197183098,64.68894366197183,30.031875,25.963430555555554,Zandvoort,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,6.311765071770336
3,9189,4,167.66666666666666,190.0,237.5,119.327,32.584,37.438,48.730000000000004,Las Vegas,2023,64.49000000000001,47.36111111111112,939.7814814814816,0,64.39,5.147171296296297
4,9213,4,211.6,182.85714285714286,295.25,102.37054545454545,28.062490909090908,40.85575,33.44192857142857,Austin,2023,85.92821428571429,41.910714285714285,993.7309523809524,0,105.1314285714286,7.414057142857143
5,9496,4,278.1578947368421,296.58490566037733,293.3207547169811,129.9714423076923,67.42438461538462,43.8517358490566,19.36422641509434,Suzuka,2024,71.04408839779006,43.430939226519335,1012.3723756906076,0,99.50198895027624,5.012857458563537
6,9507,4,205.75555555555556,181.6315789473684,306.29824561403507,95.55280357142858,32.446017857142856,36.359157894736846,26.730666666666664,Miami,2024,83.33945205479452,59.04794520547945,1016.4513698630136,0,112.27260273972604,6.867283561643836
7,9582,4,286.8235294117647,265.2835820895522,296.72131147540983,75.6424090909091,25.74481818181818,27.35620895522388,22.545955223880597,Zandvoort,2024,66.17657534246575,61.04794520547945,1019.9787671232876,0,87.34753424657535,10.135448630136986
8,9625,4,281.469696969697,276.3380281690141,320.4035087719298,85.01715714285714,30.58824285714286,32.75461971830986,21.99132394366197,Mexico City,2024,67.79962264150944,51.0503144654088,785.2528301886792,0,96.0845283018868,4.811660377358491
9,9644,4,178.7560975609756,207.46,314.88,99.23595918367347,29.067122448979593,33.18288,37.01072,Las Vegas,2024,65.4504347826087,51.033816425120776,961.3260869565216,0,68.08434782608695,6.770437198067634
