,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3
0,7779,16,276.3666666666667,293.66,301.82,98.26020408163265,36.172877551020406,30.84516,31.239079999999998
1,7787,16,,,243.0,,,,
2,7953,16,227.96428571428572,243.425,297.6470588235294,99.62863157894736,32.42448717948718,42.945825,24.206820512820514
3,9070,16,203.69565217391303,209.3921568627451,311.29411764705884,109.47088,38.88982,44.192627450980396,26.362960784313724
4,9078,16,213.73333333333332,185.6140350877193,316.49122807017545,93.05048214285715,31.99523214285714,35.16166666666666,25.916491228070175
5,9094,16,181.86111111111111,172.34615384615384,273.03846153846155,84.47742857142856,22.011142857142858,39.984833333333334,22.46074358974359
6,9102,16,271.3174603174603,279.2878787878788,314.2037037037037,80.87029230769231,24.329753846153846,32.16662121212121,24.40390909090909
7,9110,16,243.82142857142858,269.75714285714287,303.14285714285717,80.70144927536231,22.330434782608695,25.903357142857143,32.46814285714286
8,9118,16,293.22222222222223,227.29577464788733,294.11267605633805,72.27751428571429,18.7027,31.719887323943663,21.92539436619718
9,9126,16,283.8333333333333,246.40384615384616,294.3269230769231,98.77111764705883,32.35049019607843,39.30084615384615,27.088615384615384
10,9133,16,278.11475409836066,237.54285714285714,292.1276595744681,84.96555072463768,30.932347826086954,30.150371428571425,23.911514285714286
11,9141,16,305.35897435897436,190.75,302.8,113.21220930232558,33.1263488372093,49.43229545454546,30.64859090909091
12,9149,16,275.5625,260.1219512195122,278.63157894736844,86.9636,30.277524999999997,30.624170731707313,26.34080487804878
13,9157,16,315.16279069767444,322.8627450980392,326.7608695652174,86.87530000000001,28.52982,29.873588235294118,28.475529411764704
14,9165,16,282.54716981132077,254.79032258064515,272.7708333333333,103.50903278688526,30.497655737704918,44.06564516129033,28.935935483870967
15,9173,16,268.5777777777778,288.45283018867923,287.1698113207547,103.37607692307691,38.073653846153846,45.47243396226415,20.272490566037735
16,9181,16,281.07142857142856,275.4788732394366,318.2068965517241,104.09582857142857,48.202357142857146,33.31966197183098,22.562056338028167
17,9189,16,172.61363636363637,202.68,289.52,107.00024489795918,30.416979591836736,35.50308,41.00706
18,9197,16,285.1020408163265,299.3965517241379,305.1551724137931,90.30698245614035,18.855842105263157,38.410172413793106,33.05660344827586
19,9213,16,209.76,181.48214285714286,300.7857142857143,102.59167272727274,27.818163636363636,41.034,33.74089285714286
20,9221,16,226.8235294117647,276.2105263157895,291.3018867924528,92.55251785714286,34.83816071428571,30.435105263157894,27.619894736842106
21,9472,16,234.88372093023256,258.05263157894734,299.32,97.25250000000001,31.594267857142857,41.8139298245614,23.835982456140353
22,9480,16,279.4,291.0,302.8,97.24961224489796,35.636204081632656,30.66418,30.906999999999996
23,9488,16,273.7142857142857,303.13793103448273,289.5098039215686,83.13489473684211,28.882859649122803,18.227741379310345,36.033534482758625
24,9496,16,274.9555555555556,293.9056603773585,291.64150943396226,129.52971153846153,66.96903846153846,43.98356603773585,19.576509433962265
25,9507,16,205.04,181.08771929824562,308.1929824561403,95.78748214285714,32.85410714285714,36.21157894736842,26.695087719298243
26,9515,16,214.5,253.22222222222223,287.58730158730157,81.42883870967742,25.99214516129032,28.262349206349207,27.177968253968253
27,9523,16,198.86666666666667,181.83333333333334,275.12820512820514,79.73018181818182,20.63016883116883,37.04185897435897,22.179545454545455
28,9531,16,199.35,256.0975609756098,288.5853658536585,95.61271794871796,27.7403,30.022414634146344,37.903125
29,9539,16,270.3666666666667,278.22727272727275,311.14814814814815,80.57712307692307,24.04176923076923,32.30203030303031,24.242545454545454
30,9550,16,301.089552238806,224.5211267605634,301.07042253521126,72.11098571428572,18.690685714285713,31.87261971830986,21.635676056338028
31,9558,16,291.5348837209302,250.41176470588235,301.5686274509804,97.75738,32.05014,39.218411764705884,26.470411764705883
32,9566,16,281.23214285714283,239.85714285714286,291.68888888888887,84.20952173913044,30.520710144927538,29.839514285714287,23.881700000000002
33,9574,16,315.05,203.7674418604651,311.5,109.20514285714286,31.936953488372094,47.895,29.373302325581392
34,9582,16,286.8,267.6060606060606,306.54545454545456,75.94550769230769,25.95370769230769,27.468909090909094,22.545727272727273
35,9590,16,315.6666666666667,320.64150943396226,324.47727272727275,84.47207692307691,27.862499999999997,28.630547169811322,28.012566037735848
36,9598,16,197.89361702127658,210.68627450980392,316.4313725490196,109.53622,39.52908,44.07535294117647,25.945470588235295
37,9606,16,300.4035087719298,267.7903225806452,288.27272727272725,98.49034426229508,29.131049180327867,41.76654838709677,27.64393548387097
38,9617,16,215.41666666666666,178.89285714285714,298.64285714285717,101.99367272727272,27.479563636363636,40.47467857142857,34.00001785714286
39,9625,16,286.030303030303,276.1830985915493,316.6909090909091,85.41944285714285,30.790185714285716,32.89412676056338,22.065901408450706
40,9636,16,283.01960784313724,214.55072463768116,249.044776119403,111.02410294117647,43.750764705882354,46.80911594202899,20.440521739130435
41,9644,16,177.85365853658536,208.72,313.62,98.70142857142856,28.836244897959187,33.07614,36.78974
42,9655,16,226.84615384615384,270.9347826086956,277.475,97.77434782608695,36.14965217391305,31.747,30.29759574468085
43,9662,16,287.78,299.10526315789474,311.0,89.91760714285715,18.370589285714285,38.52145614035088,33.05764912280702
44,9673,16,253.30232558139534,255.98214285714286,296.64285714285717,108.5398,28.90905357142857,32.698232142857144,47.07782142857143
