,session_key,driver_number,i1_speed,i2_speed,st_speed,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,location,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_speed
0,9133,4,280.6296296296296,241.1,289.54,84.52846376811594,30.854405797101453,29.947,23.746542857142856,Budapest,2023,83.85536585365855,32.80487804878049,988.4018292682928,0,119.44268292682926,3.2231896341463417
1,9157,4,311.8888888888889,317.5098039215686,319.3636363636364,87.50157999999999,28.742759999999997,30.13350980392157,28.64972549019608,Monza,2023,84.79423076923078,42.32051282051282,1000.5615384615384,0,109.27076923076925,2.549606410256411
2,9165,4,279.7719298245614,261.7903225806452,282.03636363636366,103.1445081967213,30.20486885245902,44.054725806451614,28.882467741935482,Marina Bay,2023,85.71977272727273,72.0284090909091,1008.9784090909092,0,97.55988636363637,3.1673886363636363
3,9213,4,211.6,182.85714285714286,295.25,102.37054545454545,28.062490909090908,40.85575,33.44192857142857,Austin,2023,85.92821428571429,41.910714285714285,993.7309523809524,0,105.1314285714286,7.414057142857143
4,9221,4,225.27450980392157,270.87719298245617,293.51162790697674,91.90785714285714,34.50917857142857,30.45542105263158,27.33114035087719,Lusail,2023,88.62822784810126,73.17721518987342,1009.7765822784812,0,98.46556962025318,1.986399367088608
5,9507,4,205.75555555555556,181.6315789473684,306.29824561403507,95.55280357142858,32.446017857142856,36.359157894736846,26.730666666666664,Miami,2024,83.33945205479452,59.04794520547945,1016.4513698630136,0,112.27260273972604,6.867283561643836
6,9550,4,300.4423076923077,228.4375,297.0625,71.70925396825398,18.091158730158728,31.70921875,21.89396875,Spielberg,2024,84.96657342657343,35.00699300699301,932.862937062937,1,115.55776223776223,3.73094055944056
7,9566,4,277.6111111111111,241.15714285714284,287.5416666666667,83.98175362318841,30.611202898550722,29.69647142857143,23.68857142857143,Budapest,2024,83.88296774193549,46.92258064516129,981.6767741935485,0,112.84903225806453,2.7955283870967738
8,9590,4,315.1111111111111,320.37735849056605,325.5882352941176,84.57517307692306,28.171211538461538,28.629056603773584,27.836622641509432,Monza,2024,91.5827067669173,32.285714285714285,993.2285714285714,0,120.7603007518797,3.3975488721804514
9,9606,4,283.8103448275862,262.2258064516129,280.4791666666667,97.57618032786885,29.098081967213115,41.013225806451615,27.477016129032258,Marina Bay,2024,87.41525000000001,74.65,1008.024375,0,97.602125,2.1363350000000003
